,open,high,low,close
0,0.51727337,0.50627965,0.55359364,0.48133522
1,0.5171551,0.50615746,0.5534723,0.48121637
2,0.5171014,0.50610197,0.5534172,0.4811625
3,0.51711226,0.5061131,0.5534285,0.48117346
4,0.5170586,0.50605756,0.5533734,0.4811195
5,0.5170049,0.50600207,0.55325204,0.48100066
6,0.5168866,0.5058798,0.55319697,0.48094678
7,0.5168329,0.5058243,0.55314195,0.48089284
8,0.51677924,0.5057688,0.5530869,0.4808389
9,0.5167901,0.50578,0.5530318,0.48078495
10,0.516801,0.5057911,0.553043,0.48086083
11,0.51668274,0.5058023,0.55298793,0.4808718
12,0.5167582,0.5057467,0.5530654,0.48081785
13,0.5166399,0.5057579,0.55294406,0.48082882
14,0.51677996,0.5057691,0.5529553,0.4808398
15,0.51672626,0.5057803,0.5529666,0.48085076
16,0.51673716,0.5057914,0.5529778,0.48086172
17,0.5167481,0.50573593,0.552989,0.48074287
18,0.51669437,0.5056804,0.5530003,0.48075384
19,0.5167053,0.5056915,0.55301154,0.48076487
20,0.5166516,0.50570273,0.55295646,0.48071086
21,0.5166625,0.5056472,0.55296767,0.48072183
22,0.5166733,0.5056583,0.55297893,0.4807328
23,0.516555,0.5055361,0.5528575,0.48061395
24,0.5165175,0.5054973,0.55280244,0.48056006
25,0.5165122,0.50549173,0.55274737,0.48050612
26,0.51647466,0.50545293,0.55272543,0.4804846
27,0.5164371,0.50541407,0.5527035,0.4804631
28,0.51639956,0.5053752,0.55268157,0.48044163
29,0.516362,0.5053363,0.5526597,0.4804201
30,0.5163083,0.5052808,0.5526047,0.48036617
31,0.5162546,0.5052253,0.55254954,0.4803123
32,0.51626545,0.5052364,0.5525608,0.4803232
33,0.5162764,0.5052476,0.552572,0.48033422
34,0.51628727,0.50525874,0.5525832,0.48034513
35,0.51675034,0.5057368,0.55232924,0.4803555
36,0.51637363,0.5053478,0.5523073,0.48020446
37,0.515997,0.50495875,0.55228543,0.48005348
38,0.51658916,0.5055702,0.5526945,0.4804539
39,0.51640636,0.505448,0.55270576,0.4805298
40,0.5165948,0.5055925,0.5527998,0.48062187
41,0.5166219,0.5056037,0.55279446,0.48061663
42,0.51630974,0.5055481,0.5526068,0.4805302
43,0.5165144,0.5054926,0.5526843,0.48044384
44,0.51620233,0.5051703,0.5524966,0.48026007
45,0.5161486,0.5052481,0.5523752,0.4803359
46,0.5160626,0.50502586,0.5523533,0.4801197
47,0.5157182,0.5046702,0.55199987,0.4797737
48,0.5160521,0.50501484,0.5523426,0.4801092
49,0.5159984,0.5115622,0.5522875,0.48076922
50,0.51620305,0.505504,0.5522988,0.48006618
51,0.51621395,0.50518167,0.5525089,0.48027188
52,0.51590186,0.5048594,0.55218863,0.4799583
53,0.51636493,0.5054708,0.552664,0.48055345
54,0.5164404,0.50541526,0.5527415,0.4804995
55,0.5163867,0.5053597,0.55268645,0.48044556
56,0.516333,0.50530416,0.5526314,0.48039156
57,0.5169898,0.50604904,0.5526426,0.48040253
58,0.5162902,0.5052598,0.5525875,0.4803486
59,0.5162365,0.50520426,0.55253243,0.48029464
60,0.5162312,0.5051988,0.55252707,0.4802894
61,0.5161936,0.5051599,0.55248857,0.48025167
62,0.5160753,0.50503767,0.5523672,0.48013282
63,0.5160216,0.5049821,0.55231214,0.48007888
64,0.5159679,0.5049273,0.55225706,0.48002493
65,0.5160434,0.50527126,0.55226827,0.4800359
66,0.5160543,0.5050156,0.5523193,0.48011172
67,0.51625896,0.50522685,0.5522244,0.47999287
68,0.51588225,0.50517136,0.5521693,0.47993892
69,0.51594484,0.50516915,0.55223364,0.48000187
70,0.51623994,0.5052737,0.5525366,0.48029834
71,0.5163025,0.5052715,0.55260086,0.48036128
72,0.5161934,0.50521594,0.5524889,0.48030734
73,0.5160844,0.5051604,0.552377,0.4802534
74,0.51597524,0.5051049,0.5522651,0.4801994
75,0.5157555,0.50504935,0.5520395,0.48014545
76,0.5156464,0.5049938,0.55192757,0.4800915
77,0.51565695,0.50493824,0.55190575,0.48000515
78,0.5156675,0.50488275,0.55188376,0.47991872
79,0.5156781,0.5048272,0.5518619,0.4798323
80,0.51581717,0.50477165,0.5519062,0.47968102
81,0.51544243,0.5043826,0.55171853,0.47949725
82,0.51571167,0.5046606,0.5516634,0.4794433
83,0.5154642,0.50440496,0.551741,0.4795192
84,0.51545894,0.5043994,0.5516859,0.47946525
85,0.51555055,0.504494,0.55163085,0.4794113
86,0.51549685,0.50443846,0.5515758,0.47935736
87,0.51544315,0.5043829,0.55152065,0.47930342
88,0.51538944,0.50432736,0.5515319,0.47931433
89,0.5153357,0.5042718,0.5514105,0.47919548
90,0.51484597,0.50376606,0.551057,0.47884947
91,0.51464695,0.5035605,0.5509025,0.4786982
92,0.5149808,0.5043053,0.55117893,0.47906613
93,0.5151596,0.50424975,0.55142885,0.47936916
94,0.514615,0.5035273,0.5508699,0.47866613
95,0.5153364,0.5042721,0.550881,0.4786771
96,0.5153473,0.5042832,0.5506271,0.47927225
97,0.5152936,0.5045612,0.55143404,0.4792183
98,0.5154983,0.50443894,0.55177677,0.47955376
99,0.5154446,0.5043834,0.5517217,0.47949982
